"id","class"
4356,"good"
4357,"good"
4358,"good"
4359,"medium"
4360,"medium"
4361,"medium"
4362,"medium"
4363,"good"
4364,"medium"
4365,"medium"
4366,"good"
4367,"good"
4368,"good"
4369,"good"
4370,"good"
4371,"good"
4372,"good"
4373,"good"
4374,"medium"
4375,"good"
4376,"good"
4377,"good"
4378,"good"
4379,"medium"
4380,"good"
4381,"good"
4382,"medium"
4383,"good"
4384,"good"
4385,"good"
4386,"good"
4387,"good"
4388,"good"
4389,"good"
4390,"good"
4391,"medium"
4392,"good"
4393,"good"
4394,"good"
4395,"good"
4396,"good"
4397,"medium"
4398,"good"
4399,"good"
4400,"good"
4401,"good"
4402,"good"
4403,"medium"
4404,"medium"
4405,"good"
4406,"good"
4407,"good"
4408,"good"
4409,"medium"
4410,"good"
4411,"medium"
4412,"good"
4413,"good"
4414,"good"
4415,"good"
4416,"good"
4417,"medium"
4418,"medium"
4419,"good"
4420,"good"
4421,"good"
4422,"good"
4423,"good"
4424,"medium"
4425,"good"
4426,"medium"
4427,"good"
4428,"medium"
4429,"medium"
4430,"good"
4431,"good"
4432,"good"
4433,"good"
4434,"good"
4435,"good"
4436,"good"
4437,"good"
4438,"good"
4439,"good"
4440,"medium"
4441,"medium"
4442,"good"
4443,"medium"
4444,"good"
4445,"good"
4446,"medium"
4447,"medium"
4448,"good"
4449,"good"
4450,"medium"
4451,"medium"
4452,"good"
4453,"good"
4454,"good"
4455,"good"
4456,"good"
4457,"medium"
4458,"good"
4459,"good"
4460,"medium"
4461,"good"
4462,"medium"
4463,"good"
4464,"good"
4465,"good"
4466,"good"
4467,"good"
4468,"good"
4469,"medium"
4470,"medium"
4471,"medium"
4472,"good"
4473,"medium"
4474,"medium"
4475,"good"
4476,"good"
4477,"good"
4478,"good"
4479,"good"
4480,"good"
4481,"medium"
4482,"good"
4483,"medium"
4484,"medium"
4485,"medium"
4486,"good"
4487,"medium"
4488,"medium"
4489,"good"
4490,"medium"
4491,"medium"
4492,"good"
4493,"good"
4494,"medium"
4495,"medium"
4496,"good"
4497,"good"
4498,"medium"
4499,"medium"
4500,"medium"
4501,"good"
4502,"good"
4503,"medium"
4504,"medium"
4505,"good"
4506,"good"
4507,"good"
4508,"good"
4509,"good"
4510,"good"
4511,"medium"
4512,"good"
4513,"good"
4514,"good"
4515,"good"
4516,"medium"
4517,"good"
4518,"good"
4519,"good"
4520,"good"
4521,"good"
4522,"medium"
4523,"medium"
4524,"good"
4525,"good"
4526,"medium"
4527,"good"
4528,"medium"
4529,"good"
4530,"good"
4531,"medium"
4532,"good"
4533,"good"
4534,"good"
4535,"good"
4536,"medium"
4537,"good"
4538,"good"
4539,"good"
4540,"good"
4541,"good"
4542,"good"
4543,"good"
4544,"good"
